category,word
bot_phrase,hello dear
bot_phrase,promotion offer
bot_phrase,investment plan
bot_phrase,quick profit
bot_phrase,limited time investment
bot_phrase,send crypto
bot_phrase,contact me
bot_phrase,dm me now
bot_phrase,message me now
bot_phrase,i have an offer
bot_phrase,special promotion
bot_phrase,earn money fast
bot_phrase,work from home job
bot_phrase,make money online
bot_phrase,guaranteed profit
bot_phrase,100 percent profit
bot_phrase,telegram promotion
bot_phrase,whatsapp promotion
bot_phrase,limited investment
bot_phrase,exclusive investment
bot_phrase,amazing opportunity
bot_phrase,urgent crypto deal
bot_phrase,join now
bot_phrase,sign up now
bot_phrase,amazing profit
bot_phrase,hot investment
emoji_spam,🔥
emoji_spam,💰
emoji_spam,💸
emoji_spam,💵
